标题,观看量,弹幕量,上传时间,up主
"尚硅谷Python零基础入门教程全套完整版(自学Python,资料齐全)",7.5万,2376,2018-08-20,尚硅谷官方
【尚学堂.百战程序员】高淇 Python 400集 （完结） #新版,6.1万,1562,2019-08-22,逆风微笑的代码狗
为何要劝小白不学python,6879,22,2020-03-29,程序员_Egon_爱根老师
Python 基础教程,4767,15,2020-03-29,POUR_OVER
Python黑客编程,2.7万,20,2020-03-25,黑客教程
【程序员吐槽大会】Python才是世界上最好的语言,9.8万,170,2019-11-13,享学编程
【千锋教育】Python 从入门到入坟 900集（学完可就业2019版）,4.9万,442,2019-11-09,萧曵__
清华学霸尹成Python爬虫（无水印，有课件）,3.7万,35,2020-02-29,最后的肯麦基
Python + Selenium Web自动化 全套教程,4.9万,974,2019-08-19,白月黑羽Python
Python数据处理与分析,4746,0,2020-03-14,不怕钢叉的猹
python3带你玩转excel--工作党福利--（评论区附有课件和代码）,1.9万,71,2020-02-14,plusyou13
用Python感受编程之美,3.7万,11,2020-01-30,教室工作室
Python GUI与坦克大战,2949,2,2020-03-23,POUR_OVER
代码讲解《Python for Finance》-- PART03,2468,0,2019-09-29,股神回忆录
【慕课】Python语言基础与应用-北京大学-陈斌-字幕校对,5.4万,369,2020-02-10,chbpku
三体运动模拟（含行星） | python+manim制作,22.6万,1525,2020-03-08,cigar666
2019 Python3.7零基础入门【初级】（含课件和代码）,4.1万,716,2019-12-22,Lei_ZM
边学python边赚钱的3种方法,9647,3,2019-10-30,HackWooder
Numpy &amp; Pandas (莫烦 Python 数据处理教程),33.9万,5477,2017-11-16,莫烦Python
为什么很多公司放弃了python转而使用golang？,2.1万,41,2020-03-31,丁哥开讲
买的python学习课程 免费分享啦 python入门课程 python编程,2475,12,2019-09-08,reputation_渡
2019最新Django全套教程【千锋Python】,9.0万,3523,2019-07-02,千锋教育
全民一起玩Python完整版【最幽默风趣的Python教程没有之一】,6.6万,840,2020-01-28,嘻嘻有料
@微软官方推出的#Python教程【开眼看世界，最适合的可能就在身边】,10.9万,456,2019-10-22,鱼C-小甲鱼
371集带你学会Python教程|传智播客,4.2万,467,2019-06-10,传智播客
【Python】B 站 审 核 现 状,1.8万,115,2020-03-12,东北大学Action实验室
Python编程基础及应用,18.6万,3360,2018-10-22,海洋饼干叔叔
Python教程 - 6个项目，Python从入门到进阶系列课程【硬核Python，Python入门，Python实战，Python零基础】,4.9万,735,2020-02-23,麦叔编程
Python Numpy,3884,4,2020-03-22,POUR_OVER
【老男孩教育】2020年Python全栈 900集（就业班）,3.5万,82,2020-01-10,逆风微笑的代码狗
2019年python匠心之作系列教程从0到1学会编程,13.4万,3819,2019-06-06,黑马程序员-
利用Python实现微信机器人,1924,0,2020-03-09,老王家的王小白
【唐宇迪】Python数据分析与机器学习实战已完结 2.26开始更新,5.5万,872,2019-02-27,攻城狮之家
Python Qt 图形界面编程 - 白月黑羽出品 - PySide2 PyQt5 PyQt PySide,2.1万,179,2019-11-24,白月黑羽Python
Python 爬虫从基础到实战,5589,20,2020-03-29,POUR_OVER
Python 进阶视频,2104,1,2020-03-29,POUR_OVER
清华计算机博士带你学-Python金融量化分析,5.5万,807,2020-02-10,路飞学城小媛老师
Python数据可视化详解大全-从简单到完善到高级设置（Matplotlib/Seaborn/Plotly/常用统计图形）,2.9万,56,2020-01-10,云开见明教育科技
【用Python处理Excel数据，中文全基础系列教程】,8.7万,425,2019-06-07,说到做到的橙橙橙
python全栈工程师全套视频教程 B站时间最长的python教程,12.5万,611,2019-03-24,逆风微笑的代码狗
Matplotlib Python 画图教程 (莫烦Python),15.6万,2027,2017-11-16,莫烦Python
【沈醉】00后小姐姐竟然当了程序猿！菜鸡python实习生真实的一周【vlog】感叹秃头996生活不值得,32.5万,476,2019-07-20,英俊的沈醉
Python全栈（老男孩4期）Django框架入门到应用,10.4万,1117,2018-04-26,CatorJ
[MIT] 计算机科学导论和python编程 (双语字幕) Programming in Python,9.9万,133,2019-07-22,Reindeer丨
Python大佬带学生看妹子图，并用Python多线程采集整站资源！,255,3,2020-04-03,Python编程语言
北京大学2020最新公开课：数据结构与算法Python版（更新中）,8416,13,2020-03-23,机器学习与Python实战
01: Python初识 | Python入门灵魂三问 | 零基础学Python,431,4,2020-04-04,Se7en柒_Nick
Python3机器学习【小白勿入】,1.9万,169,2020-02-27,嘻嘻有料
python数据处理与展示 北京理工大学【国家精品课程】,4283,4,2019-08-24,中国机械工程学会
Python+OpenCV入门教程,451,0,2020-04-03,PS学习社
【一起啃书】用Python实现自动化办公,7712,17,2020-03-30,致敬大神
【Python-零基础入门】2020感谢走进我的生命，Python！（已更新至240集）,2.4万,104,2020-03-05,杨哥天云
【麻省理工学院】Python编程和计算机科学导论公开课（中英字幕）,6.5万,158,2019-11-27,Python爬虫人工智能
【机器学习】菜菜的sklearn课堂【全85集】Python进阶,2.8万,147,2019-12-30,菜菜TsaiTsai
千锋python教程：Django基础到实战讲解（精华版）,24.1万,5990,2018-01-02,千锋教育
Python自动化操作Word,4359,0,2020-03-08,老王家的王小白
Python 基础教程 (莫烦 Python 教程),31.4万,5646,2017-12-04,莫烦Python
（全）基于python的Opencv项目实战,2.6万,663,2019-11-29,啥都会一点的研究生
Python零基础入门学习2020最新版（SiKi学院） - 第一季,6.9万,2298,2019-10-24,siki学院
【python爬虫_从入门到精通（高级篇）】scrapy框架、反爬、分布式爬虫,5.2万,1619,2019-07-05,luvm的小屋
Python金融量化分析14天入门,5665,18,2020-03-20,过气网红_金角大王Alex
8天搞定Python爬虫开发,3029,12,2020-04-03,过气网红_金角大王Alex
众所周知，Python是不能做鬼畜的，尤其是蔡徐坤打篮球,13.1万,461,2020-03-04,先知-6047-
OpenCV计算机视觉实战(Python版),3533,14,2020-03-26,张奇MAX
如何利用Python爬音乐，付费的你觉得可以吗？,414,0,2020-04-03,python数据分析
华为大佬7天带你入门python自动化测试—selenium自动化，appium自动化，app自动化，接口自动化，jmeter性能测试,10.9万,2177,2018-11-02,松勤软件测试
预热python硬件,594,0,2020-04-04,xiaowang老师
60行python代码，跑出6000字废话，是怎样登顶GitHub热榜第一的？,8.5万,200,2020-02-09,苏苏思量
为什么推荐你学python，而不是java、php、c++，坚持完30秒你就懂了,966,5,2020-04-03,IT-哆哆
(北京理工大学)python数据分析与展示[Numpy、Matplotlib、Pandas],3.4万,586,2019-10-24,啥都会一点的研究生
python网络爬虫入门与实战（新手强烈推荐）-- 内含全套视频，代码，课件资料,2.4万,177,2019-08-17,程序员小凯
《Python语言程序设计》 国家二级Python辅助教程,4.8万,837,2020-01-04,xiaowang老师
【基于python的大型同人游戏】少女前线-遗愿演示视频,2.0万,37,2020-02-13,萌萌哒的洛小星
python+opencv3.3视频教学 基础入门,22.8万,7048,2018-06-16,Jai_wei
Tensorflow 搭建自己的神经网络 (莫烦 Python 教程),87.0万,1.1万,2017-11-04,莫烦Python
人工智能Python网络爬虫机器学习深度学习基础班+就业班+项目实战全栈课程+资料,287,0,2020-04-05,蓝精灵永恒
数据结构与算法Python版-北京大学-中国大学MOOC(慕课),3.4万,757,2019-09-14,HdUIprince
Python趣味教程：你尝试过让Python代码替代你玩游戏吗？,588,1,2020-04-03,Python编程语言
Python爬虫总是IP被封？试着学下这个IP代理池教程吧！,1078,1,2020-04-02,Python编程语言
当我想用Python去解决高数题的时候，我发现我错了,972,6,2020-04-05,Java_S
强化学习 Reinforcement Learning (莫烦 Python 教程),27.2万,2356,2017-12-03,莫烦Python
Python 数据库实战,1549,1,2020-03-29,POUR_OVER
PyTorch 动态神经网络 (莫烦 Python 教学),37.9万,4802,2017-11-04,莫烦Python
【秦路】七周学会数据分析|良心教程（数据思维/统计学/excel/数据可视化/sql/python）,2.2万,125,2019-12-31,marketing小黑工
【Python魔法】另一个困扰了b站多年的问题（基于BFS自动寻路贪吃蛇）,142.1万,1865,2019-06-24,幽蓝伊梦
【Windows音mad】今宵是飘逸的操作系统（Python脚本演出）,3.0万,232,2020-02-21,LT-TH
【Python三大库学习入门】Numpy，pandas，matplotlib,3191,0,2020-03-25,邻家小女爱数分
【教程向】手把手教你用Python下载网易云音乐歌单#妈妈再也不用担心我没歌听啦！(不要错过),1.8万,56,2020-03-06,jarvan先森
Python大佬秀操作，通过一张照片实现GPS定位女友位置！,5151,10,2020-03-27,Python编程语言
【PYTHON入门】从零基础到6款游戏（简介有代码）,2781,12,2020-04-01,胶皮睿
microbit Python编程-2-LED显示屏,271,0,2020-04-03,chbpku
【课程】数据结构与算法Python版-北京大学-陈斌-10-直播课堂-递归动态规划双周小结,2401,0,2020-03-27,chbpku
【编程教室】Python中的__name__与__main__,4227,11,2019-08-27,幽蓝伊梦
[DISTANCE]一小时入门C4D PYTHON系列：python技能树第一部分 - 数据类型,1.7万,45,2020-02-24,JACKADUX
Python快速入门 第一讲 开发环境~~~,166,3,2020-04-04,家境贫寒的柯南酱
Tkinter 做简单的窗口视窗 (GUI 莫烦 Python 教程),12.4万,1400,2017-12-04,莫烦Python
"程序员宝库,开源社区GitHub到底该怎么玩 |如何玩转Github |Java/Python/C语言/C++开源项目聚集地",12.5万,507,2019-05-21,CodeSheep
喵大：python3.8超爽新功能,4.9万,173,2020-02-01,我是喵大
利用python编程语言做游戏逆向？亏这位大佬能够想的出来！,660,1,2020-04-03,Python编程语言
金融科技工具箱——面向经管金融同学的Python、爬虫、机器学习课,1.9万,215,2019-10-24,无机言nokay
零零后程序员 -面试高级Java开发工程师-经验分享 Java|Python |PHP| GO |分享,4080,15,2020-03-28,全栈小刘
女码农改行up主后为何重操旧业？100行Python代码自动拉取视频播放量 |【编程教程系列01】持续更新ing,7.8万,158,2020-01-07,苏苏思量
给女码农500块钱，如何用20行python代码，预测考研结果 |【编程教程系列02】持续更新ing,4605,111,2020-04-02,苏苏思量
